text,sentiment
Wow. Yall needa step it up @Apple RT @heynyla: Music and snapchat at the same damn time. Thank you #Note4,-1
What Happened To Apple Inc?   http://t.co/FJEXI3oP0U  #aapl #apple @MoneyPress http://t.co/wXKmmTMArW,0
Thank u @apple I can now compile all of the pics that i communicate with in one place http://t.co/tq1lo09oyA,1
"The oddly uplifting story of the Apple co-founder who sold his stake for $800 
$AAPL #aapl
http://t.co/CiZbVR05PJ",0
@apple can i exchange my iphone for a different color lmao  i changed my mind,0
"RT @JPDesloges: Apple Acted Unfairly In Suppressing Digital Music Competition: Paul Kedrosky $AAPL #aapl
http://t.co/XTbFhpbYf7",-1
Let's not forget that press effects stock @Apple to Defend Against iPod Antitrust Suit http://t.co/pqJ0bKIMb8,0
Apple Inc. Deleted Songs From Rival Services From iPods http://t.co/dQwDFpcc4x #AAPL,-1
@TeamCavuto @Apple They're staging a die in ar an Apple store while being on their iPhone.,0
"Happy Monday! My camera on my fancy @Apple #iPhone6Plus suddenly stopped working this weekend, so instead - I meme. http://t.co/XdySgcxUuv",-1
"Facebook CEO Mark Zuckerberg criticizes Apple $AAPL #aapl
http://t.co/EVrsNVdeXe",-1
fuck you too @apple,-1
@Apple  you need to sort your phones out.,-1
@OneRepublic @Apple 45000 feet keep flying,0
"@MarkZuckerbergF of @facebook and tim cook of @apple are sparring, but can we plz talk REAL connectivity on the web? http://t.co/AKfHP9pL9X",0
@APPLE YOURE SHIT FIX MY PROBLEM,-1
"Up 169%, Is #Apple Supplier #Skyworks Still A Buy? #SWKS  #AAPL #BRCM #MU #QCOM #VTI http://t.co/YcxoMNmHqo",0
Theyre not RT @Naivana_: You gotta be kidding me @apple http://t.co/GeeL25AlT1,-1
"What to expect from Apple in 2015 $AAPL #aapl
http://t.co/7Dq9vBdt3H",0
Confirmed: Bose speakers returning to #Apple Stores after removal earlier this year - http://t.co/yXPyde3TvQ #AAPL #BeatsElectronics,0
@apple @iphone4 oh it's not fair and i think you're really mean,-1
"How Competition Between #Wireless Carriers Benefits #Apple, Inc. | The Motley Fool #aapl http://t.co/mQe4NT0vXr",0
Does @apple store in Georgetown sell refurb'd iPads? Or just new? Are refurbs only available online?,0
How is my battery already 83% within 15 minutes of usage. Fix up @apple,-1
@UberFacts i can think of 100 reasons not to if your on a 4s. Fuck @apple,-1
How long does it really take for a phone to ship @apple smh,-1
@brwnskin_beauti cause fuck @apple,-1
@lanadelreystan KILL YOURSELF @apple,-1
@THE_HIIT_COACH @weightsmate @Apple it's similar to an existing app (called cardio guru interestingly). Maybe Apple have noticed this?,0
"#AAPL:Pale, hoarse Steve Jobs defends Apple in videotaped deposition in iPod...http://t.co/SNmpSx4TDo",0
@apple ur a disgrace,-1
.@apple The iPad update to iOS 8 is an absolute disaster. Nothing works right anymore. Safari crashes constantly. #iFail,-1
"#AAPL:Apple trial continues, without a plaintiff for now...http://t.co/DjDkC4HkPZ",0
Finally! Brooklyn Is Getting Its Own #Apple Store #aapl http://t.co/IpjMgjGQw5 http://t.co/Ow2BSRLbAx,1
RT @SwiftKey: We're so excited to be named to @Apple's 'App Store Best of 2014' list this year! http://t.co/d7qlmti4Uf #Apple,1
"The best link of the day on @usemuzli Tech: @facebook CEO Mark Zuckerberg goes after @tim_cook , @Apple -- AppAdvice
http://t.co/cDnZCthRlA",0
@PCAudioLabs is in and @Apple is out at Emanon Records.  Apple was premium product. Now it is an average product with a premium price.,-1
Realised the reason @apple make huge phones is because they f**ked Safari up by not allowing us to hide the address bar,-1
@apple y'all shitty,-1
Finally updated to iOS 8...this happened ha weird glitch fix it please @apple http://t.co/LCoGg7yfEz,-1
RT @jopocop: TheStreet:  #Apple Gets Price Target Boost on Back of Strong #iPhone Demand #aapl  http://t.co/f2qTGIBDDq,0
How to Make #Apple Special Again #aapl http://t.co/EiAP7Kmelu,0
@swerviinnn @Apple clearly its a sign they doing u a favor,0
@apple #macos #yosemite is a buggy piece of shit. It makes me miss #windows8.,-1
I'm surprised there isn't more talk about what looked like a flash crash in #AAPL yesterday. Biggest range in years and largely ignored,-1
"Shockingly, iMessage on the desktop is fucked up again. Great work, @apple. Seriously, on point with network services as only you can do.",-1
The hell does this mean @apple one day Skype won't let me login now I can't even open the app http://t.co/SegFVq5Mzx,-1
Tryng to get back on snapchat but the App Store isn't cooperating @apple,-1
"Apple Adds New Flyover Locations to Maps, Siri Movie Showtimes in More Countries [iOS Blog] http://t.co/758TjE7alk #AAPL",0
@apple fucking let everyone name the group chats their own things please and thanks,-1
@dougluberts @Apple Is it the 128gb version?,0
@Apple your chargers SUCK,-1
The questions every #CIO should ask about @Apple #iWatch: http://t.co/1RSxT3CMlZ,0
RT @saigeist: the most offensive thing is the lack of a trashcan emoji stop the discrimination @apple,-1
@apple fuck you,-1
"RT @JPDesloges: Higher Price Targets Are Not Helping Apple's Shares $AAPL #aapl
http://t.co/QTLiiXy1Ed",-1
#Apple heads to trial over iTunes update #AAPL http://t.co/BevWxGyCVk,0
"#AAPL:New, Far-Reaching Apple Patent Reveals Next iPhone May Demonstrate A C...http://t.co/Ce8dwGBHz0",0
"@apple Why is your NYC Grand Central store so bad when it comes to service? 14th Street is much, much better...",-1
I'm not happy about that @apple,-1
"RT @adage: Watch the weekend's new TV ads from @RadioShack, @Apple and more http://t.co/cKdkibI6PL",0
@tehhGOAT @Apple do you by accident have me blocked or?,-1
Real tired of my charger breaking every month @Apple,-1
Is Apple The Most Important Stock On Earth?  http://t.co/YkyiwKnL5S #aapl http://t.co/eiAOHl8LL1,0
@Apple get your shit together I hate you,-1
#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..,-1
fucking faggots @apple,-1
"are u #android or #ios? $aapl #samsung #aapl #ApplePay #apple #GoodMore
#GivingTuesday
#StonerSports
#3YearsOf5SOS
#FlashvsArrow
#stocks",0
